hand,strength(mult)
A-A-A,0.7863304670000001
A-A-2,0.720731934
A-A-3,0.720731934
A-A-4,0.6551334010000001
A-A-5,0.720731934
A-A-6,0.589534868
A-A-7,0.720731934
A-A-8,0.589534868
A-A-9,0.6551334010000001
A-A-10,0.589534868
A-A-J,0.720731934
A-A-Q,0.45833780200000007
A-A-K,0.720731934
A-2-2,0.660605868
A-2-3,0.660605868
A-2-4,0.6004798020000001
A-2-5,0.660605868
A-2-6,0.540353736
A-2-7,0.660605868
A-2-8,0.540353736
A-2-9,0.6004798020000001
A-2-10,0.540353736
A-2-J,0.660605868
A-2-Q,0.4201016040000001
A-2-K,0.660605868
A-3-3,0.660605868
A-3-4,0.6004798020000001
A-3-5,0.660605868
A-3-6,0.540353736
A-3-7,0.660605868
A-3-8,0.540353736
A-3-9,0.6004798020000001
A-3-10,0.540353736
A-3-J,0.660605868
A-3-Q,0.4201016040000001
A-3-K,0.660605868
A-4-4,0.5458262030000001
A-4-5,0.6004798020000001
A-4-6,0.491172604
A-4-7,0.6004798020000001
A-4-8,0.491172604
A-4-9,0.5458262030000001
A-4-10,0.491172604
A-4-J,0.6004798020000001
A-4-Q,0.3818654060000001
A-4-K,0.6004798020000001
A-5-5,0.660605868
A-5-6,0.540353736
A-5-7,0.660605868
A-5-8,0.540353736
A-5-9,0.6004798020000001
A-5-10,0.540353736
A-5-J,0.660605868
A-5-Q,0.4201016040000001
A-5-K,0.660605868
A-6-6,0.44199147199999994
A-6-7,0.5403537359999999
A-6-8,0.44199147199999994
A-6-9,0.49117260399999996
A-6-10,0.44199147199999994
A-6-J,0.5403537359999999
A-6-Q,0.343629208
A-6-K,0.5403537359999999
A-7-7,0.660605868
A-7-8,0.540353736
A-7-9,0.6004798020000001
A-7-10,0.540353736
A-7-J,0.660605868
A-7-Q,0.4201016040000001
A-7-K,0.660605868
A-8-8,0.44199147199999994
A-8-9,0.49117260399999996
A-8-10,0.44199147199999994
A-8-J,0.5403537359999999
A-8-Q,0.343629208
A-8-K,0.5403537359999999
A-9-9,0.5458262030000001
A-9-10,0.491172604
A-9-J,0.6004798020000001
A-9-Q,0.3818654060000001
A-9-K,0.6004798020000001
A-10-10,0.44199147199999994
A-10-J,0.5403537359999999
A-10-Q,0.343629208
A-10-K,0.5403537359999999
A-J-J,0.660605868
A-J-Q,0.4201016040000001
A-J-K,0.660605868
A-Q-Q,0.2671568120000001
A-Q-K,0.4201016040000001
A-K-K,0.660605868
2-2-2,0.605495736
2-2-3,0.605495736
2-2-4,0.5503856039999999
2-2-5,0.605495736
2-2-6,0.4952754719999999
2-2-7,0.605495736
2-2-8,0.4952754719999999
2-2-9,0.5503856039999999
2-2-10,0.4952754719999999
2-2-J,0.605495736
2-2-Q,0.385055208
2-2-K,0.605495736
2-3-3,0.605495736
2-3-4,0.5503856039999999
2-3-5,0.605495736
2-3-6,0.4952754719999999
2-3-7,0.605495736
2-3-8,0.4952754719999999
2-3-9,0.5503856039999999
2-3-10,0.4952754719999999
2-3-J,0.605495736
2-3-Q,0.385055208
2-3-K,0.605495736
2-4-4,0.500291406
2-4-5,0.5503856039999999
2-4-6,0.45019720799999996
2-4-7,0.5503856039999999
2-4-8,0.45019720799999996
2-4-9,0.500291406
2-4-10,0.45019720799999996
2-4-J,0.5503856039999999
2-4-Q,0.350008812
2-4-K,0.5503856039999999
2-5-5,0.605495736
2-5-6,0.4952754719999999
2-5-7,0.605495736
2-5-8,0.4952754719999999
2-5-9,0.5503856039999999
2-5-10,0.4952754719999999
2-5-J,0.605495736
2-5-Q,0.385055208
2-5-K,0.605495736
2-6-6,0.4051189439999999
2-6-7,0.49527547199999994
2-6-8,0.4051189439999999
2-6-9,0.45019720799999996
2-6-10,0.4051189439999999
2-6-J,0.49527547199999994
2-6-Q,0.31496241599999997
2-6-K,0.49527547199999994
2-7-7,0.605495736
2-7-8,0.4952754719999999
2-7-9,0.5503856039999999
2-7-10,0.4952754719999999
2-7-J,0.605495736
2-7-Q,0.385055208
2-7-K,0.605495736
2-8-8,0.4051189439999999
2-8-9,0.45019720799999996
2-8-10,0.4051189439999999
2-8-J,0.49527547199999994
2-8-Q,0.31496241599999997
2-8-K,0.49527547199999994
2-9-9,0.500291406
2-9-10,0.45019720799999996
2-9-J,0.5503856039999999
2-9-Q,0.350008812
2-9-K,0.5503856039999999
2-10-10,0.4051189439999999
2-10-J,0.49527547199999994
2-10-Q,0.31496241599999997
2-10-K,0.49527547199999994
2-J-J,0.605495736
2-J-Q,0.385055208
2-J-K,0.605495736
2-Q-Q,0.244869624
2-Q-K,0.385055208
2-K-K,0.605495736
3-3-3,0.605495736
3-3-4,0.5503856039999999
3-3-5,0.605495736
3-3-6,0.4952754719999999
3-3-7,0.605495736
3-3-8,0.4952754719999999
3-3-9,0.5503856039999999
3-3-10,0.4952754719999999
3-3-J,0.605495736
3-3-Q,0.385055208
3-3-K,0.605495736
3-4-4,0.500291406
3-4-5,0.5503856039999999
3-4-6,0.45019720799999996
3-4-7,0.5503856039999999
3-4-8,0.45019720799999996
3-4-9,0.500291406
3-4-10,0.45019720799999996
3-4-J,0.5503856039999999
3-4-Q,0.350008812
3-4-K,0.5503856039999999
3-5-5,0.605495736
3-5-6,0.4952754719999999
3-5-7,0.605495736
3-5-8,0.4952754719999999
3-5-9,0.5503856039999999
3-5-10,0.4952754719999999
3-5-J,0.605495736
3-5-Q,0.385055208
3-5-K,0.605495736
3-6-6,0.4051189439999999
3-6-7,0.49527547199999994
3-6-8,0.4051189439999999
3-6-9,0.45019720799999996
3-6-10,0.4051189439999999
3-6-J,0.49527547199999994
3-6-Q,0.31496241599999997
3-6-K,0.49527547199999994
3-7-7,0.605495736
3-7-8,0.4952754719999999
3-7-9,0.5503856039999999
3-7-10,0.4952754719999999
3-7-J,0.605495736
3-7-Q,0.385055208
3-7-K,0.605495736
3-8-8,0.4051189439999999
3-8-9,0.45019720799999996
3-8-10,0.4051189439999999
3-8-J,0.49527547199999994
3-8-Q,0.31496241599999997
3-8-K,0.49527547199999994
3-9-9,0.500291406
3-9-10,0.45019720799999996
3-9-J,0.5503856039999999
3-9-Q,0.350008812
3-9-K,0.5503856039999999
3-10-10,0.4051189439999999
3-10-J,0.49527547199999994
3-10-Q,0.31496241599999997
3-10-K,0.49527547199999994
3-J-J,0.605495736
3-J-Q,0.385055208
3-J-K,0.605495736
3-Q-Q,0.244869624
3-Q-K,0.385055208
3-K-K,0.605495736
4-4-4,0.45475660900000003
4-4-5,0.500291406
4-4-6,0.40922181199999996
4-4-7,0.500291406
4-4-8,0.40922181199999996
4-4-9,0.45475660900000003
4-4-10,0.40922181199999996
4-4-J,0.500291406
4-4-Q,0.31815221800000004
4-4-K,0.500291406
4-5-5,0.5503856039999999
4-5-6,0.45019720799999996
4-5-7,0.5503856039999999
4-5-8,0.45019720799999996
4-5-9,0.500291406
4-5-10,0.45019720799999996
4-5-J,0.5503856039999999
4-5-Q,0.350008812
4-5-K,0.5503856039999999
4-6-6,0.36824641599999997
4-6-7,0.45019720799999996
4-6-8,0.36824641599999997
4-6-9,0.40922181199999996
4-6-10,0.36824641599999997
4-6-J,0.45019720799999996
4-6-Q,0.28629562399999997
4-6-K,0.45019720799999996
4-7-7,0.5503856039999999
4-7-8,0.45019720799999996
4-7-9,0.500291406
4-7-10,0.45019720799999996
4-7-J,0.5503856039999999
4-7-Q,0.350008812
4-7-K,0.5503856039999999
4-8-8,0.36824641599999997
4-8-9,0.40922181199999996
4-8-10,0.36824641599999997
4-8-J,0.45019720799999996
4-8-Q,0.28629562399999997
4-8-K,0.45019720799999996
4-9-9,0.45475660900000003
4-9-10,0.40922181199999996
4-9-J,0.500291406
4-9-Q,0.31815221800000004
4-9-K,0.500291406
4-10-10,0.36824641599999997
4-10-J,0.45019720799999996
4-10-Q,0.28629562399999997
4-10-K,0.45019720799999996
4-J-J,0.5503856039999999
4-J-Q,0.350008812
4-J-K,0.5503856039999999
4-Q-Q,0.22258243600000002
4-Q-K,0.350008812
4-K-K,0.5503856039999999
5-5-5,0.605495736
5-5-6,0.4952754719999999
5-5-7,0.605495736
5-5-8,0.4952754719999999
5-5-9,0.5503856039999999
5-5-10,0.4952754719999999
5-5-J,0.605495736
5-5-Q,0.385055208
5-5-K,0.605495736
5-6-6,0.4051189439999999
5-6-7,0.49527547199999994
5-6-8,0.4051189439999999
5-6-9,0.45019720799999996
5-6-10,0.4051189439999999
5-6-J,0.49527547199999994
5-6-Q,0.31496241599999997
5-6-K,0.49527547199999994
5-7-7,0.605495736
5-7-8,0.4952754719999999
5-7-9,0.5503856039999999
5-7-10,0.4952754719999999
5-7-J,0.605495736
5-7-Q,0.385055208
5-7-K,0.605495736
5-8-8,0.4051189439999999
5-8-9,0.45019720799999996
5-8-10,0.4051189439999999
5-8-J,0.49527547199999994
5-8-Q,0.31496241599999997
5-8-K,0.49527547199999994
5-9-9,0.500291406
5-9-10,0.45019720799999996
5-9-J,0.5503856039999999
5-9-Q,0.350008812
5-9-K,0.5503856039999999
5-10-10,0.4051189439999999
5-10-J,0.49527547199999994
5-10-Q,0.31496241599999997
5-10-K,0.49527547199999994
5-J-J,0.605495736
5-J-Q,0.385055208
5-J-K,0.605495736
5-Q-Q,0.244869624
5-Q-K,0.385055208
5-K-K,0.605495736
6-6-6,0.33137388799999995
6-6-7,0.4051189439999999
6-6-8,0.33137388799999995
6-6-9,0.36824641599999997
6-6-10,0.33137388799999995
6-6-J,0.4051189439999999
6-6-Q,0.257628832
6-6-K,0.4051189439999999
6-7-7,0.49527547199999994
6-7-8,0.4051189439999999
6-7-9,0.45019720799999996
6-7-10,0.4051189439999999
6-7-J,0.49527547199999994
6-7-Q,0.31496241599999997
6-7-K,0.49527547199999994
6-8-8,0.33137388799999995
6-8-9,0.36824641599999997
6-8-10,0.33137388799999995
6-8-J,0.4051189439999999
6-8-Q,0.257628832
6-8-K,0.4051189439999999
6-9-9,0.40922181199999996
6-9-10,0.36824641599999997
6-9-J,0.45019720799999996
6-9-Q,0.28629562399999997
6-9-K,0.45019720799999996
6-10-10,0.33137388799999995
6-10-J,0.4051189439999999
6-10-Q,0.257628832
6-10-K,0.4051189439999999
6-J-J,0.49527547199999994
6-J-Q,0.31496241599999997
6-J-K,0.49527547199999994
6-Q-Q,0.200295248
6-Q-K,0.314962416
6-K-K,0.49527547199999994
7-7-7,0.605495736
7-7-8,0.4952754719999999
7-7-9,0.5503856039999999
7-7-10,0.4952754719999999
7-7-J,0.605495736
7-7-Q,0.385055208
7-7-K,0.605495736
7-8-8,0.4051189439999999
7-8-9,0.45019720799999996
7-8-10,0.4051189439999999
7-8-J,0.49527547199999994
7-8-Q,0.31496241599999997
7-8-K,0.49527547199999994
7-9-9,0.500291406
7-9-10,0.45019720799999996
7-9-J,0.5503856039999999
7-9-Q,0.350008812
7-9-K,0.5503856039999999
7-10-10,0.4051189439999999
7-10-J,0.49527547199999994
7-10-Q,0.31496241599999997
7-10-K,0.49527547199999994
7-J-J,0.605495736
7-J-Q,0.385055208
7-J-K,0.605495736
7-Q-Q,0.244869624
7-Q-K,0.385055208
7-K-K,0.605495736
8-8-8,0.33137388799999995
8-8-9,0.36824641599999997
8-8-10,0.33137388799999995
8-8-J,0.4051189439999999
8-8-Q,0.257628832
8-8-K,0.4051189439999999
8-9-9,0.40922181199999996
8-9-10,0.36824641599999997
8-9-J,0.45019720799999996
8-9-Q,0.28629562399999997
8-9-K,0.45019720799999996
8-10-10,0.33137388799999995
8-10-J,0.4051189439999999
8-10-Q,0.257628832
8-10-K,0.4051189439999999
8-J-J,0.49527547199999994
8-J-Q,0.31496241599999997
8-J-K,0.49527547199999994
8-Q-Q,0.200295248
8-Q-K,0.314962416
8-K-K,0.49527547199999994
9-9-9,0.45475660900000003
9-9-10,0.40922181199999996
9-9-J,0.500291406
9-9-Q,0.31815221800000004
9-9-K,0.500291406
9-10-10,0.36824641599999997
9-10-J,0.45019720799999996
9-10-Q,0.28629562399999997
9-10-K,0.45019720799999996
9-J-J,0.5503856039999999
9-J-Q,0.350008812
9-J-K,0.5503856039999999
9-Q-Q,0.22258243600000002
9-Q-K,0.350008812
9-K-K,0.5503856039999999
10-10-10,0.33137388799999995
10-10-J,0.4051189439999999
10-10-Q,0.257628832
10-10-K,0.4051189439999999
10-J-J,0.49527547199999994
10-J-Q,0.31496241599999997
10-J-K,0.49527547199999994
10-Q-Q,0.200295248
10-Q-K,0.314962416
10-K-K,0.49527547199999994
J-J-J,0.605495736
J-J-Q,0.385055208
J-J-K,0.605495736
J-Q-Q,0.244869624
J-Q-K,0.385055208
J-K-K,0.605495736
Q-Q-Q,0.15572087200000004
Q-Q-K,0.244869624
Q-K-K,0.385055208
K-K-K,0.605495736
